bwin,bet365,Sky Bet,Paddy Power,William Hill,888sport,Betfair Sportsbook,Bet Victor,Coral,Unibet,Spreadex,Betfred,Boylesports,10Bet,StarSports,BetUK,QuinnBet,Midnite,Betway,Ladbrokes,BetGoodwin,Parimatch,Betfair,Matchbook,team,code,group,consensus,agreement,probability,logability,round16,quarterfinal,semifinal,final,win
3.25,4.6,4.5,4.5,4.25,4.5,4.5,4,4.5,4.5,4.4,4.5,4.5,4.5,4.25,4.5,4.5,4.5,4.25,4.5,4.5,4,4.45,4.55,United States,USA,E,-1.30461649560151,0.0905879740725585,0.213389093559734,1.19946162152294,0.8938,0.68193,0.49572,0.34421,0.21478
5,6.5,6,6,5.5,6,6,5.5,6.75,5.5,6.5,5.5,5.5,5.5,7,5.5,6,6.5,6.5,6.75,6,5.5,6.8,6.9,England,ENG,D,-1.70564442781282,0.0690076834204898,0.15372950730839,1.09785677438473,0.8915,0.61101,0.40176,0.26418,0.15732
6.5,6.5,7,7,7.5,7,7,7,6.5,8,6.5,7,7,6.5,6.5,8,7,8,8,6.5,7,7,7.38,7.4,Spain,ESP,C,-1.89307098500431,0.0984017965461057,0.130894714050629,0.886624774384725,0.87245,0.66545,0.39922,0.24013,0.13105
8,10,10,9,10,9,9,10,9.5,9,10,9,9,8.5,9.5,9,9,9,9.5,9.5,9,10,10.64,10.8,Germany,GER,H,-2.21937948500025,0.0469862108449355,0.0980236534587792,0.844099589170174,0.87566,0.55709,0.31627,0.18428,0.09746
11,14,9.5,13,12,13,13,12,14,12,12,12,11,12,14,12,12,12,14,14,12,12,14.9,15.2,France,FRA,F,-2.53769355554128,0.0903637110494398,0.0732576060404779,0.693362790719758,0.82391,0.51507,0.28295,0.15069,0.0749
12,14,14,11,12,11,11,12,12,14,15,12,14,14,13,14,13,14,14,12,13,12,12.8,13,Australia,AUS,B,-2.56155683124211,0.111305616766664,0.0716539133401667,0.735907774384725,0.78391,0.45914,0.2686,0.14374,0.07389
17,22,20,18,22,18,18,22,22,18,22,18,18,16,22,18,20,18,22,22,20,22,28,29,Sweden,SWE,G,-3.05109872376209,0.0998028507194392,0.0451700621384751,0.484489119623099,0.78788,0.38348,0.21244,0.1007,0.04474
26,22,27,22,27,22,22,27,35,22,35,27,22,22,30,22,22,27,27,35,22,27,34,35,Netherlands,NED,E,-3.31908270414497,0.154203258535819,0.0349223107326709,0.398083577904251,0.6247,0.36638,0.19776,0.08353,0.03633
23,27,27,32,27,32,32,27,30,27,27,27,27,27,27,27,27,27,35,30,27,27,33,34,Brazil,BRA,F,-3.40440046780417,0.0744634955822932,0.0321582219041526,0.360435589170174,0.7037,0.37738,0.17491,0.07496,0.03064
26,27,30,35,27,35,35,35,30,35,27,35,27,35,30,35,30,27,35,30,30,35,43,44,Japan,JPN,C,-3.52889882984757,0.130869650674746,0.0285010618913539,0.233323589170174,0.65227,0.40313,0.1748,0.06958,0.02782
34,35,35,35,35,35,35,35,47,30,35,35,35,35,42,30,32,35,42,47,32,35,69,70,Canada,CAN,B,-3.69574020949536,0.172501837716479,0.0242275213676939,0.310697434215462,0.59946,0.28381,0.13849,0.05836,0.02446
51,52,52,52,52,52,52,42,52,42,68,52,52,42,52,42,42,52,68,52,42,42,74,75,Norway,NOR,A,-4.01295034497889,0.133479171312174,0.017758893962449,0.066827589170174,0.72156,0.32084,0.12813,0.04955,0.01772
67,68,102,82,82,82,82,127,68,52,127,52,52,68,102,52,62,68,127,68,62,127,197,211,Denmark,DEN,D,-4.50660495873584,0.353776988517981,0.0109154029585214,0.0528577420319567,0.48601,0.20894,0.08764,0.02931,0.01046
101,102,152,102,102,102,102,127,68,82,152,102,68,82,152,82,102,102,252,68,102,127,251,271,Italy,ITA,G,-4.81359928089161,0.341559467641693,0.00805320533584032,-0.115396427164859,0.51065,0.17294,0.07314,0.02504,0.00818
101,102,252,102,102,102,102,252,102,152,252,152,102,202,152,152,127,102,252,102,127,252,481,491,Portugal,POR,E,-5.14165260578148,0.454018778308094,0.00581401678554138,-0.148521225615275,0.31162,0.14059,0.05725,0.01781,0.00593
126,252,252,102,202,102,102,202,152,152,252,202,102,152,152,152,202,252,152,152,202,202,315,321,Republic of Ireland,IRL,B,-5.25279472042767,0.307864067553253,0.00520563310634332,-0.134997410829826,0.35287,0.12836,0.0488,0.01592,0.00474
201,252,252,252,252,252,252,102,202,82,252,202,152,152,152,82,152,252,252,202,152,102,309,324,China,CHN,D,-5.32369010906326,0.369638220789741,0.00485108446386914,-0.151277225615275,0.36822,0.1402,0.05245,0.01542,0.00483
201,252,252,252,252,252,252,152,127,68,252,252,152,202,252,68,152,252,252,127,152,152,481,511,South Korea,KOR,H,-5.38233804636439,0.444915108097808,0.00457602494632004,-0.205755225615275,0.43924,0.16495,0.05768,0.01723,0.00509
201,202,252,252,252,252,252,202,127,152,302,252,152,202,202,152,202,202,252,127,202,202,385,421,Colombia,COL,H,-5.46013756246724,0.260242422821218,0.00423495949696887,-0.260423049573717,0.40833,0.1489,0.05048,0.01413,0.00405
201,252,752,252,252,252,252,202,127,152,752,252,152,152,202,152,202,252,502,127,202,202,403,883,New Zealand,NZL,A,-5.61211335968651,0.503008901611222,0.00364004205867558,-0.389191415898936,0.4874,0.1628,0.04998,0.01427,0.00374
251,252,252,252,252,252,252,252,152,252,252,202,202,252,252,252,252,252,252,152,252,252,481,501,Switzerland,SUI,A,-5.61257033402014,0.221810151842116,0.00363838508361862,-0.392066257968044,0.48696,0.16298,0.04936,0.0137,0.0035
251,252,502,252,252,252,252,502,202,152,402,252,202,202,252,152,202,252,252,202,202,502,481,521,Argentina,ARG,G,-5.6830951908075,0.347475841865555,0.00339146796655365,-0.334440225615275,0.38965,0.11295,0.04181,0.01245,0.00345
251,402,502,252,402,252,252,1002,252,502,1002,502,502,252,302,502,502,402,252,252,502,1002,961,981,Nigeria,NGA,B,-6.17098259922618,0.487971624051787,0.00208482658034983,-0.335730225615275,0.26376,0.08587,0.02822,0.00849,0.00217
501,502,1002,502,502,502,502,252,302,1002,1002,502,502,152,402,1002,502,502,252,302,502,252,961,981,Haiti,HAI,D,-6.29124825562423,0.502072676411325,0.0018490209648919,-0.4016467560682,0.25427,0.08267,0.02739,0.00708,0.00188
401,502,502,502,402,502,502,1002,402,502,402,502,502,502,502,502,502,502,1002,402,502,1002,423,442,Zambia,ZAM,C,-6.33658640167749,0.283793126494742,0.00176720659914365,-0.501555225615276,0.25547,0.11338,0.03123,0.00794,0.00202
501,502,1002,502,502,502,502,1002,302,502,1002,502,502,502,502,502,502,502,1002,302,502,1002,961,981,Jamaica,JAM,F,-6.46573071821331,0.343385759593843,0.00155343703178757,-0.478571225615275,0.25839,0.08642,0.02396,0.006,0.00158
501,752,1002,502,1002,502,502,1002,302,502,1002,502,502,252,502,502,502,752,752,302,502,1002,961,981,South Africa,RSA,G,-6.48753261363351,0.386067769399133,0.00151998660511038,-0.497790225615275,0.31182,0.08027,0.02775,0.00699,0.0018
501,1002,1002,502,1002,502,502,1002,302,752,1002,502,502,252,502,752,1002,1000,1002,302,1002,1002,961,981,Morocco,MAR,H,-6.61478027362542,0.429039474384128,0.00133861499499005,-0.531699410829826,0.27677,0.08416,0.02351,0.00605,0.00144
501,1002,1002,502,1002,502,502,1002,402,752,1002,502,502,502,502,752,1002,1000,752,402,1002,1002,961,981,Costa Rica,CRC,C,-6.65550970527197,0.331520241408718,0.00128525801624232,-0.593390209280242,0.21981,0.09183,0.02276,0.00533,0.00115
1001,1502,2502,502,1502,502,502,1002,752,502,2002,502,502,502,502,502,1002,1000,1502,752,1002,1002,961,981,Vietnam,VIE,E,-6.83257306024919,0.473740652145308,0.00107691957338709,-0.535810225615275,0.16988,0.06146,0.01925,0.00462,0.00116
1001,2002,1002,502,2002,502,502,1502,502,1002,2002,2002,1002,502,502,1002,1002,1000,2002,502,1002,1502,961,981,Panama,PAN,F,-6.97460483644737,0.508402606832522,0.000934461869318732,-0.606015586871385,0.214,0.06603,0.01689,0.00416,0.00091
751,4002,1002,502,3002,502,502,1002,752,752,2002,2002,1002,502,502,752,1002,1000,2002,752,1002,1002,961,981,Philippines,PHI,A,-6.98440277204313,0.551438508631823,0.000925359210958721,-0.749750410829826,0.30408,0.07959,0.0194,0.00415,0.00081
